min_tcp_window_size,max_tcp_window_size,avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,std_dev_databytes,total_data_bytes,Processing_time
2437.784149,2439,2439,0.084686572,76.1971315,11999.73539,2219.130272,2247.448487,2223.8,855704.5715,2020-12-01T10:40:21.437+09:00
2437.805734,2439,2439,0.083217915,76.47741835,12023.86185,2234.519245,2275.142638,2524.39,856749.3144,2020-12-01T10:45:41.791+09:00
2437.925161,2439,2439,0.074896123,77.12967651,12129.87567,2226.62932,2261.147375,2135.19,859023.7829,2020-12-01T10:50:32.424+09:00
2438.032645,2439,2439,0.067406511,79.61670886,12202.6881,2240.445388,2266.182637,2311.5,860382.1046,2020-12-01T10:55:22.174+09:00
2438.02938,2439,2439,0.07066586,78.35503798,12143.61929,2232.192849,2246.168373,2066.04,863465.7942,2020-12-01T11:00:41.855+09:00
2438.026442,2439,2439,0.069599274,76.71953418,11986.05736,2230.519565,2237.379536,2158.28,829625.5148,2020-12-01T11:05:32.046+09:00
2438.023798,2439,2439,0.073639346,76.04758076,12095.85163,2233.244608,2246.334582,2326.93,835393.2633,2020-12-01T11:10:21.367+09:00
2438.021418,2439,2439,0.079275412,74.34282268,12060.56646,2245.288147,2264.954124,2432.53,839646.137,2020-12-01T11:15:41.865+09:00
2438.119276,2439,2439,0.071347871,74.40854042,12050.70982,2263.967333,2276.186712,2377.28,842993.2233,2020-12-01T11:20:31.412+09:00
2438.107349,2439,2439,0.071213084,74.56768637,11900.63884,2248.953599,2255.881041,2073.13,847686.0009,2020-12-01T11:25:21.692+09:00
2438.096614,2439,2439,0.071091775,73.21091774,11807.27495,2234.981239,2228.754937,1984.62,851926.8008,2020-12-01T11:35:31.627+09:00
2438.086952,2439,2439,0.072982598,72.88982596,11934.94746,2225.550115,2228.896443,2230.17,855143.9208,2020-12-01T11:40:23.085+09:00
2438.078257,2439,2439,0.072684338,76.40084337,11905.05271,2239.536104,2241.238799,2352.32,857149.7287,2020-12-01T11:45:44.365+09:00
2438.070432,2439,2439,0.070415904,81.36075903,11809.24744,2245.822493,2248.362919,2312.48,858925.8558,2020-12-01T11:50:35.558+09:00
2438.063388,2439,2439,0.070374314,81.72468313,11850.2227,2225.466244,2235.452627,2119.26,863301.1702,2020-12-01T11:55:26.316+09:00
2438.05705,2439,2439,0.068336882,81.15221481,11708.70043,2200.43962,2202.289364,1903.82,867040.1532,2020-12-01T12:00:46.300+09:00
2438.051345,2439,2439,0.071503194,82.83699333,11792.03038,2223.307658,2219.338428,2372.78,832805.0379,2020-12-01T12:05:36.401+09:00
2438.04621,2439,2439,0.077352875,81.153294,11771.02735,2231.948892,2228.807585,2314.03,837524.8341,2020-12-01T12:10:27.068+09:00
2438.041589,2439,2439,0.079617587,79.1379646,11882.72461,2214.384003,2216.677826,2107.51,842604.5507,2020-12-01T12:15:47.677+09:00
2438.13743,2439,2439,0.071655828,77.32416814,11880.95215,2216.496602,2217.161044,2221.51,846199.5956,2020-12-01T12:20:36.930+09:00
2438.123687,2439,2439,0.073490246,75.69175133,11841.15693,2212.544942,2213.558939,2181.14,850835.6361,2020-12-01T12:25:25.548+09:00
2438.111318,2439,2439,0.075141221,78.72257619,11820.64124,2239.652448,2240.178046,2479.75,852430.2725,2020-12-01T12:30:44.747+09:00
2437.700187,2439,2439,0.093627099,77.45031857,11762.07712,2221.450203,2224.194241,2080.34,856899.8452,2020-12-01T12:35:35.497+09:00
2437.730168,2439,2439,0.098264389,76.90528672,11781.96941,2192.925183,2193.416817,1916.42,861436.5607,2020-12-01T12:40:26.428+09:00
2437.757151,2439,2439,0.09543795,76.11475804,11720.17246,2190.068665,2191.488135,2174.13,863382.2046,2020-12-01T12:45:47.269+09:00
2437.781436,2439,2439,0.097894155,78.70328224,11746.55522,2205.381798,2205.036322,2326.97,864679.7842,2020-12-01T12:50:38.247+09:00
2437.703292,2439,2439,0.10410474,77.23295402,11723.3997,2202.068618,2191.793689,2072.61,867057.0057,2020-12-01T12:55:27.150+09:00
2437.732963,2439,2439,0.100694266,75.60965861,11726.15973,2191.418757,2178.840321,2062.26,869203.4052,2020-12-01T13:00:49.109+09:00
2437.759667,2439,2439,0.096624839,76.54869275,11606.04375,2189.290881,2163.146288,2021.9,835234.4646,2020-12-01T13:05:39.020+09:00
2437.7837,2439,2439,0.096962355,76.69382348,11612.73938,2184.998793,2160.79066,2139.59,840785.4182,2020-12-01T13:15:19.800+09:00
2437.80533,2439,2439,0.09426612,75.52444113,11618.26544,2169.681913,2157.066594,2123.55,845700.9764,2020-12-01T13:20:41.042+09:00
2437.824797,2439,2439,0.089839508,74.67199702,11669.9389,2181.249722,2177.064934,2357.05,848660.0787,2020-12-01T13:25:31.538+09:00
2437.842317,2439,2439,0.085855557,73.70479732,11566.44501,2171.38475,2157.198441,1978.4,853346.0709,2020-12-01T13:35:39.788+09:00
2437.858086,2439,2439,0.087270001,73.73431758,11566.80051,2150.330275,2145.095597,2036.17,857817.8638,2020-12-01T13:40:28.011+09:00
2437.872277,2439,2439,0.085543001,72.66088583,11549.72046,2150.478247,2144.623037,2140.37,861120.9774,2020-12-01T13:45:48.300+09:00
2437.885049,2439,2439,0.083988701,72.69479724,11599.44841,2178.072423,2177.384733,2472.24,862602.5797,2020-12-01T13:50:39.177+09:00
2437.896544,2439,2439,0.088589831,71.52531752,11458.30357,2169.21818,2168.44126,2087.95,865147.3217,2020-12-01T13:55:30.253+09:00
2437.90689,2439,2439,0.084730848,74.97278577,11469.77321,2174.423362,2175.296134,2236.99,866372.6895,2020-12-01T14:00:23.502+09:00
2437.916201,2439,2439,0.085257763,79.07550719,11425.29589,2168.123026,2163.741521,2059.75,833365.4206,2020-12-01T14:05:45.014+09:00
2437.924581,2439,2439,0.087731987,77.26795647,11426.7663,2163.851724,2158.969369,2116.02,838658.5785,2020-12-01T14:10:35.843+09:00
2437.932123,2439,2439,0.085958788,78.44116082,11302.88967,2169.995551,2150.819432,2077.47,843804.3207,2020-12-01T14:15:25.318+09:00
2437.938911,2439,2439,0.087362909,78.69704474,11336.2007,2179.599996,2175.740489,2400.03,848252.5886,2020-12-01T14:20:44.847+09:00
2437.945019,2439,2439,0.083626618,76.72734027,11360.68063,2195.976996,2193.15644,2349.9,850366.3297,2020-12-01T14:25:34.813+09:00
2438.050518,2439,2439,0.075263956,79.85460624,11386.71257,2202.619297,2193.206796,2193.66,852658.4968,2020-12-01T14:35:43.832+09:00
2438.045466,2439,2439,0.075737561,80.26914562,11325.34131,2195.524367,2186.004116,2121.18,856070.2471,2020-12-01T14:40:34.350+09:00
2438.040919,2439,2439,0.077163805,78.94223105,11501.20718,2205.11093,2193.967705,2265.64,859139.8224,2020-12-01T14:45:23.987+09:00
2438.036827,2439,2439,0.074447424,77.14800795,11544.78646,2179.573837,2167.921934,1933.51,863498.8401,2020-12-01T14:50:44.365+09:00
2438.033145,2439,2439,0.075002682,76.23320715,11619.60782,2177.326454,2182.518741,2313.89,866668.6561,2020-12-01T14:55:34.215+09:00
